UNIT FILE                                    STATE           PRESET
systemd-tmpfiles-clean.service               static          -
systemd-tmpfiles-setup-dev-early.service     static          -
systemd-tmpfiles-setup-dev.service           static          -
systemd-tmpfiles-setup.service               static          -
systemd-tpm2-setup-early.service             static          -
systemd-tpm2-setup.service                   static          -
systemd-udev-load-credentials.service        disabled        disabled
systemd-udev-settle.service                  static          -
systemd-udev-trigger.service                 static          -
systemd-udevd.service                        static          -
systemd-update-done.service                  static          -
systemd-update-utmp.service                  static          -
systemd-user-sessions.service                static          -
systemd-userdbd.service                      indirect        disabled
systemd-vconsole-setup.service               static          -
systemd-vmspawn@.service                     disabled        disabled
systemd-volatile-root.service                static          -
talk.service                                 indirect        disabled
teamd@.service                               static          -
teamviewerd.service                          disabled        disabled
telnet@.service                              static          -
tlp.service                                  enabled         disabled
tor.service                                  disabled        disabled
transmission.service                         disabled        disabled
udisks2.service                              disabled        disabled
ufw.service                                  disabled        disabled
updatedb.service                             static          -
upower.service                               enabled         disabled
usbmuxd.service                              static          -
user-runtime-dir@.service                    static          -
user@.service                                static          -
uuidd.service                                indirect        disabled
vboxweb.service                              disabled        disabled
virtchd.service                              disabled        disabled
virtinterfaced.service                       disabled        disabled
virtlockd.service                            disabled        disabled
virtlogd.service                             disabled        disabled
virtlxcd.service                             disabled        disabled
virtnetworkd.service                         disabled        disabled
virtnodedevd.service                         disabled        disabled
virtnwfilterd.service                        disabled        disabled
virtproxyd.service                           disabled        disabled
virtqemud.service                            disabled        disabled
virtsecretd.service                          disabled        disabled
virtstoraged.service                         disabled        disabled
virtvboxd.service                            disabled        disabled
vncserver@.service                           disabled        disabled
vpnagentd.service                            enabled         disabled
vpnc@.service                                disabled        disabled
wacom-inputattach@.service                   static          -
waydroid-container.service                   enabled         disabled
waydroid_magisk_ota.service                  disabled        disabled
wpa_supplicant-nl80211@.service              disabled        disabled
wpa_supplicant-wired@.service                disabled        disabled
wpa_supplicant.service                       disabled        disabled
wpa_supplicant@.service                      disabled        disabled
xfs_scrub@.service                           static          -
xfs_scrub_all.service                        static          -
xfs_scrub_fail@.service                      static          -

339 unit files listed.
